Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10,fileNames
0.513179119374301,0.519443357741271,0.532384424847437,0.532937081564381,0.510288253534012,0.505115984026919,0.638974426718797,0.640517685539598,0.566842911273532,0.552662009291304,0.533964027742144,0.552186377365003,0.552906096479468,0.551271568223626,0.565567877870507,0.570888844379998,0.506686578374453,0.519014946115551,0.521563687294163,0.533613310193087,0.473078494014985,0.449017714709044,0.499672088965728,0.519943943596445,0.539624087457709,0.548714517899182,0.579280369915068,0.532014478061159,0.581856615164063,0.605924514367392,0.659639015254614,0.679699616259839,0.679842173808107,0.684855281317141,0.660011701222159,0.656965678067584,0.647591198168018,0.599504918379839,0.62222131639719,0.656931159661171,0.570347288792784,0.500618285625368,0.689952942116685,0.685360845338992,0.57036124044876,0.550663887110446,0.56976523012496,0.584847096895051,0.523239756890591,0.537041190778837,0.616953139904863,0.576740710580923,0.624401249383625,0.617978919297457,0.6342429674334,0.685409094358599,0.543345077072873,0.519146923019096,0.527860072130958,0.526008770871068,0.559620562592579,0.572193377638516,0.564680547107776,0.585110279070639,0.564261426860817,0.568545413184836,0.626817638102801,0.622116433593667,0.460097971304161,0.442533156022112,0.517120077077186,0.564313647358917,0.567624296372136,0.486628378884724,0.593535369023299,0.513531417615952,0.557286080782828,0.498107210333858,0.614364005502098,0.633105857718375,0.645391651259528,0.638946503837098,0.624997662845999,0.643463780719136,0.686519326855584,0.69901734118506,0.686742960820319,0.68075270698178,0.668821288370772,0.691977043338373,0.829826105475296,0.828059060015637,0.817173628773266,0.817145922780037,0.779053847639159,0.779981236300231,0.772604224693509,0.766135297840534,0.77914883034064,0.811085798934987,0.767838441720232,0.767762467181415,0.775120081943135,0.809042681051727,0.7514156606344,0.732205160480479,0.730212053610492,0.740183358352015,0.734151789581919,0.677016509255183,0.717760255902397,0.7417449657619,0.675081139048898,0.690188255749251,0.656447107548063,0.585866634878847,../run_01_and_run_02_scans/swrc1sub-NC150_ses-20190319_acq-highres_run-01_T1w.nii
0.436027254075042,0.443722317400186,0.51009368381304,0.514544553688946,0.483678510591674,0.476249069090664,0.606252620774035,0.605479052643328,0.534645092531019,0.517813248876131,0.491927663816763,0.508409873686417,0.509278238728066,0.511449058014895,0.52357603128,0.532823111663418,0.470657945045999,0.481258344887501,0.505379174969026,0.515719702027061,0.455446125391652,0.431893885271116,0.53445870486239,0.544384977035224,0.546817981656276,0.555846157821192,0.574093785447379,0.51514601025541,0.559325962807193,0.571897592395544,0.637056548172902,0.654764066534454,0.655297556892037,0.656814253336051,0.630731195975573,0.628104450867364,0.619954581287774,0.56604233990575,0.588224064260721,0.621135516369596,0.537533533844081,0.471023444186997,0.628806624208752,0.621676248774723,0.515099215574395,0.495935495257305,0.519649418386129,0.53648305665224,0.478669340578502,0.49658261728473,0.598046454398528,0.555625508741352,0.601072312447063,0.586432815762237,0.61218484689792,0.668140139690665,0.471867394359673,0.454554857577869,0.472402387950569,0.465852696669432,0.516873798821195,0.528008688527019,0.518414039669079,0.534516051318883,0.523156422357928,0.529835503922409,0.581684573067712,0.577641136510058,0.402463605854569,0.384187973243125,0.471584199730194,0.52800033605376,0.510180117562413,0.445659302067585,0.546186765894676,0.469942157787661,0.502832191793815,0.423999611767275,0.575557782938165,0.598207933587893,0.604656845397419,0.594957336783409,0.582648936565965,0.604177633093463,0.64669605223268,0.661462469593338,0.645830915964864,0.642579369470797,0.621404003940131,0.644974362485263,0.826125387126714,0.827098814400894,0.803869621703229,0.802754276659754,0.763678635744488,0.765161432832948,0.75722879550144,0.747987077555843,0.763854988288171,0.796003138229727,0.749281916581094,0.748613094848193,0.753878120021072,0.787621632196786,0.73323343989868,0.715664400289888,0.712841495372278,0.724557011615573,0.715455472648862,0.65750754478666,0.705891964691026,0.722428611516952,0.658820366688881,0.6754328522243,0.636802895638076,0.569214341375563,../run_01_and_run_02_scans/swrc1sub-NC150_ses-20190319_acq-highres_run-02_T1w.nii
0.565361660376594,0.572113692416283,0.579329578392208,0.576613094031965,0.549295073339286,0.54737537811251,0.680346852390743,0.685724429324204,0.592954734613336,0.581028364833046,0.566676577177809,0.59129468402444,0.593141953889957,0.59291948882582,0.588691772529628,0.593315497239275,0.525841525654487,0.538982648217115,0.594918867651661,0.606800583024304,0.490932251600658,0.471805767342448,0.550767765064305,0.565114904101938,0.568486709677267,0.575124349967005,0.590781313134357,0.546270869798579,0.633313967423005,0.641406831576636,0.703710968263055,0.726687021503023,0.71548095541565,0.722147703985684,0.692253788821718,0.688138415873573,0.661540071666241,0.604321374882792,0.633875313550234,0.676530122756958,0.586657504240672,0.526025864924933,0.662849686645199,0.657665050494335,0.562872290485852,0.544707174419671,0.565965496003628,0.587100274224057,0.52200307662055,0.537231908703689,0.622123382383992,0.575536539497595,0.612504554945126,0.612018990796059,0.637381006197797,0.697439186275005,0.564918623338727,0.546518890620318,0.532405381587644,0.530957838292178,0.565898571997121,0.59342532548288,0.583586095657411,0.597923790734586,0.584501249894936,0.598561909722995,0.635938370992196,0.633394695875561,0.452309981624528,0.435909411850128,0.504978121230097,0.574722860441651,0.562879144679755,0.47577211783769,0.597751632428322,0.513454995088039,0.546193133877671,0.488223880529404,0.580363255548329,0.603534386282967,0.607083592845334,0.606782963046351,0.605564921566596,0.623344978288053,0.686373829618484,0.699830986975883,0.688081815735333,0.681049519742124,0.656150731013009,0.683544804348427,0.836365630399752,0.833566050478862,0.818118424485095,0.81629613725439,0.77927007595884,0.775080827459771,0.774916096314705,0.767574266015484,0.78366061388561,0.817457912889518,0.768640728155151,0.770702896493205,0.771966964188357,0.810086092339922,0.755988918067444,0.729736490580051,0.730791480923744,0.733898599434087,0.734268017741571,0.673842546251631,0.705884065935198,0.734256819859147,0.668351317834423,0.687483266388115,0.655084506083618,0.566529704299238,../run_01_and_run_02_scans/swrc1sub-NC183_ses-20180825_acq-highres_run-01_T1w.nii
0.505165621969115,0.51585500345201,0.554505844641386,0.553817153660441,0.522742713792608,0.518609121633866,0.66057204265697,0.662545631272824,0.571377948897281,0.555093169774649,0.542298905274617,0.566350601400912,0.574110273939993,0.567818512108427,0.564489936138072,0.56955561852287,0.504606253260004,0.515588640036126,0.545697883299314,0.558203148183885,0.463906360461431,0.453136649931019,0.520415734761716,0.536416556080803,0.542333467900023,0.552294632374952,0.550596186503147,0.506466657933542,0.605283175453995,0.614140565458097,0.673503442863493,0.695466312882771,0.689982366454052,0.69657533604186,0.66555205382343,0.659723373326032,0.64209781722589,0.579510434075843,0.605608220249414,0.655970543940017,0.555021978237412,0.501946795631099,0.599793508337933,0.595858031204264,0.520644343971389,0.503591976460006,0.519882639225286,0.542253205600457,0.506505463722368,0.51782159821596,0.608810003777468,0.562136496400393,0.594483996169609,0.599876910215244,0.619192374497652,0.681755192751108,0.521460765205762,0.512757923410729,0.511926193861291,0.513356681868964,0.549632575267942,0.580585040294961,0.555081821880486,0.566900792303669,0.567629891521761,0.594446323363178,0.609462625151151,0.608264488756565,0.416874354659784,0.396898719224524,0.473709225428827,0.544921241700649,0.528494677195946,0.45151718508882,0.562172106204507,0.491364170106188,0.509718108679289,0.448505882759179,0.541647918152908,0.566684247685536,0.560938342975246,0.559086749648994,0.567826213113343,0.586166843062355,0.650451420631725,0.667504549581812,0.653971177508572,0.649910387818905,0.625838919885849,0.650075653986055,0.811681900692856,0.808268559087096,0.796062370482535,0.794315611914037,0.755018233077571,0.754533134322828,0.752583683286299,0.741358666904479,0.764756268498921,0.797541345975715,0.744054820248857,0.744563235828046,0.749104894169195,0.783905364472318,0.730879558989453,0.703197665447774,0.703519993567282,0.708919599182962,0.709656619343413,0.649393026669001,0.676303170545369,0.704361155331135,0.646350695426206,0.661636536254695,0.632492111081427,0.547308002246751,../run_01_and_run_02_scans/swrc1sub-NC183_ses-20180825_acq-highres_run-02_T1w.nii
0.480454836170185,0.498271046219853,0.537205611714503,0.536456473479745,0.514640272559168,0.51073997625217,0.635140100746706,0.643312281975319,0.57973729334893,0.566976850137771,0.558213900779409,0.578939484455449,0.569415138857516,0.577558407005211,0.555925386798818,0.554775455435242,0.503053187069343,0.511042345593225,0.525836430891336,0.533708258302181,0.462807824944749,0.447509908608415,0.500972446373205,0.516341213393025,0.533530524886195,0.543543246453223,0.570162667737653,0.517314277841883,0.585533575126619,0.597418940381,0.635497300836601,0.655804019354015,0.659956534932319,0.670074520574417,0.64156054921894,0.640042708957927,0.632096480645917,0.593103473009758,0.594306044280529,0.650229712908572,0.549873651880207,0.491441511624568,0.615502187100211,0.613369018902035,0.515169782577979,0.496172729158012,0.515475666580292,0.539521099346825,0.471847708843298,0.485931623727083,0.556298697772233,0.522085660069912,0.582510089665129,0.58910658233799,0.630420002010133,0.681262581500896,0.494541428632596,0.47966239109722,0.482234815011422,0.48407224992754,0.538047680773749,0.562454612920546,0.544438528311825,0.559719689654117,0.538226742531216,0.558812930342184,0.609362680829997,0.610299583787293,0.394890869263469,0.37415272377907,0.461883223869584,0.512127503925978,0.494016733486205,0.444846141581925,0.530363149845447,0.453274602250707,0.50247862983657,0.435893655728017,0.582132170577187,0.604789058948236,0.610079255468316,0.609573565591294,0.597652225351582,0.622191183032498,0.68749833391242,0.695331589359304,0.68235414409665,0.678845202654216,0.651394646957909,0.676818971325751,0.800031380342372,0.798006704517903,0.782907174239619,0.78522544817792,0.742665819485079,0.744023138023328,0.739566921022351,0.728518968770624,0.753509309806741,0.783343635261331,0.737981843296438,0.73793849064393,0.747042811419382,0.784046832198802,0.715515817323374,0.697391978683679,0.703999972950245,0.700995613857517,0.702276397720877,0.6383087435334,0.679517310492846,0.695192968770862,0.636513563254511,0.668263301841522,0.614809551157735,0.552448700699541,../run_01_and_run_02_scans/swrc1sub-NC188_ses-20180825_acq-highres_run-01_T1w.nii
0.373333565516822,0.38945336672275,0.484220060906032,0.489107372571332,0.448044010330565,0.449913136046572,0.566843745817159,0.568632894689339,0.506185193961723,0.482323482913791,0.461677415211983,0.475449619144571,0.479829992028991,0.487416844682813,0.502297717351012,0.49540446352996,0.433620072061611,0.445785969106564,0.455926176500823,0.458259879130048,0.426612378481556,0.405615293099122,0.507346880852903,0.511579580139369,0.529151128276306,0.539224216543534,0.551087511548152,0.487415954596916,0.516909377367208,0.549398566743261,0.600935038105634,0.621260686362364,0.62464469110005,0.635531035775784,0.607078853134926,0.598968615657405,0.586118825863708,0.543238243651252,0.550486133992672,0.597014563831877,0.492558299592047,0.450635011333066,0.515348969419064,0.516805662534155,0.458837824155974,0.447148447797677,0.466622364979524,0.490942782125412,0.436868352728002,0.449716857052408,0.524356646197183,0.474629273778389,0.52039142658836,0.533742452273145,0.57284382780393,0.641359946755476,0.391746977322242,0.380289898773785,0.421837580328186,0.424552097681012,0.461633373632309,0.474485300358844,0.459237749855071,0.466307726669361,0.464760247321807,0.488299631809135,0.550535177473805,0.549707344258947,0.343603798710718,0.339127103699015,0.423483590284983,0.462984926478807,0.447840294955919,0.398355785327462,0.480777328404096,0.415466179650637,0.46085500875083,0.398066137252109,0.53006915926687,0.550177802241618,0.551815541750855,0.55555249203567,0.542968955977509,0.564623091428999,0.622536626120564,0.630030832305458,0.620341043919325,0.615112776552275,0.571138170645817,0.589997889131916,0.75935563406134,0.755291696922242,0.74040704116987,0.743583411356759,0.701465388909381,0.703343248726186,0.695280938716241,0.68764862942629,0.700985566703695,0.729546356691073,0.689276810409501,0.692047292764267,0.703412861428982,0.737881980922692,0.670614000882894,0.654225472101699,0.65390679432252,0.658276939075293,0.661412236830556,0.597168776254678,0.642181395572059,0.653322130292654,0.587443695459739,0.615696604118535,0.562778872928836,0.511406674981117,../run_01_and_run_02_scans/swrc1sub-NC188_ses-20180825_acq-highres_run-02_T1w.nii
0.455153785013094,0.468502102041806,0.474012750568913,0.471723894721008,0.454925785915783,0.450839394069824,0.587075159699277,0.586923885404023,0.506334542548618,0.49632644294849,0.472680489788353,0.490773502247357,0.498934125425108,0.499688906385003,0.505889542332691,0.512690297698713,0.453619354250093,0.461897260402862,0.427096568257384,0.425713892726155,0.408196771407829,0.38814002702182,0.434587437773425,0.450215833331458,0.463461563904204,0.474016401682787,0.500024143063153,0.467381953940553,0.506623503610943,0.517592305513589,0.58318385893577,0.59754324962486,0.610925036776615,0.616191124077886,0.597649860012735,0.590383639330404,0.603824909031391,0.545815192509529,0.560547455996275,0.623206432512466,0.515204535740795,0.45657918340451,0.597825533541496,0.595442331453189,0.489848612540604,0.468849771617761,0.50356539368916,0.517874424369671,0.454535629050244,0.472122742212377,0.556162076522104,0.511558916756367,0.559366248155895,0.568839040584862,0.594775535331832,0.651938568020976,0.417889394479639,0.411017602526171,0.425711818598211,0.426760674583111,0.500903721318366,0.524738908283515,0.505613474671497,0.514008891347533,0.497348796934762,0.509963981298558,0.521518907292346,0.51491203212802,0.372101487637293,0.342572064555072,0.45089939981699,0.527923383338507,0.499800968760004,0.432977906750658,0.550654829073793,0.455133024362787,0.501316244592485,0.438202332119857,0.528933322349609,0.547756817582394,0.546414963106314,0.544339543258822,0.54317981681476,0.560271063494304,0.610592289313596,0.619302931548276,0.614840804564732,0.612294428018541,0.610142936586942,0.628117974822213,0.809740440583177,0.806820477792666,0.794394856300979,0.791081545395511,0.751475986232732,0.752020194697443,0.742501815437605,0.738569402078676,0.756435611534237,0.792807295101963,0.7462868811097,0.743206100601159,0.753392190737433,0.79216724713279,0.724249464533632,0.706397933156594,0.699898541357714,0.702053210162741,0.70691410281572,0.634922489370267,0.661705185412144,0.676515325531364,0.633923394403544,0.650603450246547,0.612720895490863,0.536523780723413,../run_01_and_run_02_scans/swrc1sub-NC189_ses-20180825_acq-highres_run-01_T1w.nii
0.401093759376225,0.420003976726878,0.42989983529125,0.426373987562127,0.411115097258097,0.401148976086034,0.562787410156253,0.557610883176587,0.472361993784819,0.457514735536193,0.438145604655522,0.454156266724132,0.462805536757949,0.465801362151278,0.472596489483627,0.473111756799924,0.416799105308139,0.415808674355793,0.356449423828958,0.34539321361037,0.368518067633404,0.353237718682398,0.385552213894665,0.404690923681483,0.422615581009464,0.432224663199434,0.455552149719248,0.427368024900808,0.455136773261157,0.476657960858,0.530280558686507,0.546099180899875,0.565634914281729,0.569450541457627,0.5527986405879,0.54538394510746,0.571480247242884,0.52111989970124,0.51972055837512,0.581899464447448,0.468198927514481,0.420089898782002,0.535060859750209,0.541078233970931,0.428271330293835,0.406663630085549,0.453762045531319,0.47339304527029,0.399141272492457,0.418520537728909,0.521792193284686,0.47960593873433,0.522086233684891,0.531596933025867,0.560356487996048,0.62179947176645,0.418661684104625,0.416134687487123,0.411030997832616,0.410181184295609,0.509112173285093,0.534026462125452,0.493372558896719,0.505736942020442,0.489076155156022,0.510321629035425,0.493123802858316,0.48497426192179,0.341917130323808,0.311912561509203,0.402236400002783,0.471214241932991,0.439685518387705,0.388109266972886,0.496416153481755,0.414300397759484,0.450693068216028,0.38461758803044,0.469826892203043,0.492241625043173,0.480133555150694,0.47159761549519,0.474339545983821,0.494802658520048,0.572242683789227,0.583186487742463,0.574674147526147,0.572531272189556,0.569952019490302,0.589653035309039,0.768754383731706,0.766649213470234,0.750253265253462,0.746994364592764,0.704130198686996,0.709261532853411,0.699691513313927,0.689527533865175,0.716219062999924,0.750379080369592,0.696549778897315,0.692050159144937,0.703164790371476,0.740784732668038,0.676614877900907,0.657341849577168,0.647861008791579,0.655238752407352,0.656578209744879,0.587200977906738,0.626983255147934,0.632154249921441,0.589865884777293,0.599967687733864,0.571354107965123,0.498329519066546,../run_01_and_run_02_scans/swrc1sub-NC189_ses-20180825_acq-highres_run-02_T1w.nii
0.490207052843566,0.495673726285821,0.498970279483715,0.499933724746455,0.476303823059425,0.47484999645463,0.641497882915657,0.638790142204303,0.545127774852689,0.532830395507363,0.525085313395792,0.548030303888226,0.544232016789606,0.549515324949283,0.549205473442448,0.55413030891396,0.474817196182289,0.483913911627003,0.4580376396911,0.456792438610808,0.417622980168637,0.411310490559448,0.450163038908888,0.45681056138128,0.477512517953109,0.492495833099752,0.518503007246181,0.485136122521708,0.518889063687036,0.541290426626801,0.60083871175486,0.622251718922193,0.632837289601172,0.639299771690276,0.609548306490621,0.603381760222347,0.612539758871902,0.559368147319833,0.571874179393053,0.614314516491078,0.528683627193624,0.46329234298822,0.614956050357792,0.615564010132283,0.484477747343202,0.456446441544387,0.502396926513085,0.524730443253986,0.45198674094957,0.464660298370291,0.586268790575288,0.5314083726942,0.563017313679059,0.566057446878403,0.602109597623348,0.673646350412868,0.470349888678859,0.472028996448877,0.498011749765525,0.507137122479352,0.5550294091276,0.561593310167528,0.552616978186187,0.577876233275501,0.585808966947899,0.608313682567642,0.575581787728439,0.564242360273525,0.390794951196124,0.37832686408086,0.463026491304239,0.53300903737545,0.513887574275335,0.428539198715813,0.55577811694298,0.463938386089379,0.506614298033326,0.442681526499135,0.533884134666979,0.563835012396016,0.553941933380233,0.550251372963996,0.546141646554073,0.563189397846896,0.661852572840871,0.669091311161933,0.657660990125603,0.659713962591001,0.649746507798371,0.67338498889589,0.827832043503689,0.823755977462039,0.795687634759722,0.793597849352019,0.74637434183356,0.747997612268201,0.736239573101425,0.72744248220541,0.749298585080864,0.784977404222096,0.727826516935602,0.725978299640538,0.728892741750839,0.754772563339085,0.704046297877554,0.684862998678632,0.679970445860293,0.686171087106382,0.697359748633511,0.630996880457573,0.663658865404372,0.684761470854282,0.630871417517044,0.642931086452384,0.606024531342766,0.536925636397468,../run_01_and_run_02_scans/swrc1sub-NC216_ses-20180508_acq-highres_run-01_T1w.nii
0.550160679966211,0.554544779222351,0.548062504687142,0.546890596423577,0.522041759149243,0.520037451240512,0.673877985588792,0.672055086317802,0.584308444652767,0.568408519802791,0.564648549558046,0.585872522192469,0.582421285640732,0.588214587450915,0.584021770168187,0.585986554295665,0.509954207325885,0.523399672438553,0.515294956021552,0.513972299555679,0.463411120916991,0.439413100142371,0.500672209791452,0.509196165320464,0.525644737697553,0.54011988117931,0.579313560854644,0.530042806166714,0.573869479425026,0.593567974473301,0.661629261547013,0.68382307420294,0.676537997922615,0.683003488346003,0.651463720533583,0.643712076570904,0.647307881035588,0.593530443258757,0.610358770638704,0.655192333808605,0.569701224565506,0.494849940812266,0.664267527468706,0.665392360379719,0.53670528332733,0.514479492960123,0.552717367359079,0.572820479161719,0.47898517434029,0.49066163180396,0.605510525636791,0.54720735047237,0.585411526654896,0.588180801598355,0.630801800058948,0.700458534581717,0.514184233064161,0.503415612070713,0.526351585596179,0.529167142015672,0.572202346522477,0.579889764871499,0.578987030353088,0.606516980005745,0.579695657706161,0.596613830232237,0.626902054211592,0.620098253277822,0.430468663300683,0.422312275367848,0.511111156732747,0.568622381188149,0.558809018538644,0.464736155986499,0.590494868656,0.49746011197567,0.546812277125276,0.488654300410833,0.589539952945611,0.611211683300714,0.611215593980418,0.606994102230749,0.604078669504573,0.62324476857034,0.679910564969759,0.692895689180919,0.686485736078962,0.680199156663193,0.673612232074926,0.690404753701216,0.85773927884781,0.853813317156475,0.826226039435536,0.824221018145955,0.782489907215623,0.778893057666524,0.76962428485881,0.761687517665618,0.780768592242557,0.817096199857318,0.764202658971772,0.761522860088375,0.769392203331687,0.804310165662103,0.742912771682891,0.722215034456357,0.722868668971602,0.721195663640818,0.725301674151995,0.661297115161247,0.685729175349888,0.712326120361686,0.654516276465841,0.674179000093749,0.640346811982718,0.560722665323152,../run_01_and_run_02_scans/swrc1sub-NC216_ses-20180508_acq-highres_run-02_T1w.nii
